Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-08T10:24:24.732Z","Included","claude-4.5-opus-high-thinking","Yes","3073","6","68561","295","71935","0.07"
"2025-12-08T10:24:18.245Z","Included","claude-4.5-opus-high-thinking","Yes","690","81","67871","2911","71553","0.13"
"2025-12-08T10:22:25.366Z","Included","claude-4.5-opus-high-thinking","Yes","139","6","67732","685","68562","0.06"
"2025-12-08T10:21:43.159Z","Included","claude-4.5-opus-high-thinking","Yes","3961","6","63771","115","67853","0.07"
"2025-12-08T10:21:30.911Z","Included","claude-4.5-opus-high-thinking","Yes","3629","6","60142","3882","67659","0.18"
"2025-12-08T10:21:25.943Z","Included","claude-4.5-opus-high-thinking","Yes","608","829","59534","188","61159","0.05"
"2025-12-08T10:16:21.414Z","Included","claude-4.5-opus-high-thinking","Yes","208","6","59326","603","60143","0.06"
"2025-12-08T10:16:14.561Z","Included","claude-4.5-opus-high-thinking","Yes","2060","6","57266","184","59516","0.06"
"2025-12-08T10:16:08.361Z","Included","claude-4.5-opus-high-thinking","Yes","2256","6","55010","155","57427","0.05"
"2025-12-08T10:16:01.584Z","Included","claude-4.5-opus-high-thinking","Yes","388","6","54622","163","55179","0.04"
"2025-12-08T10:15:22.942Z","Included","claude-4.5-opus-high-thinking","Yes","2957","6","51665","211","54839","0.06"
"2025-12-08T10:15:15.596Z","Included","claude-4.5-opus-high-thinking","Yes","494","6","51171","2868","54539","0.12"
"2025-12-08T10:15:02.135Z","Included","claude-4.5-opus-high-thinking","Yes","780","6","50391","315","51492","0.05"
"2025-12-08T10:14:54.917Z","Included","claude-4.5-opus-high-thinking","Yes","8669","6","41722","691","51088","0.11"
"2025-12-08T10:14:42.971Z","Included","claude-4.5-opus-high-thinking","Yes","852","6","40870","146","41874","0.04"
"2025-12-08T10:14:32.410Z","Included","claude-4.5-opus-high-thinking","Yes","671","6","40199","762","41638","0.05"
"2025-12-08T10:14:25.998Z","Included","claude-4.5-opus-high-thinking","Yes","563","6","39636","581","40786","0.05"
"2025-12-08T10:13:59.672Z","Included","claude-4.5-opus-high-thinking","Yes","1953","6","37683","385","40027","0.05"
"2025-12-08T10:13:53.745Z","Included","claude-4.5-opus-high-thinking","Yes","1035","6","36648","1866","39555","0.09"
"2025-12-08T10:13:36.988Z","Included","claude-4.5-opus-high-thinking","Yes","9156","6","27492","782","37436","0.11"
"2025-12-08T10:13:35.703Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-08T10:13:28.725Z","Included","claude-4.5-opus-high-thinking","Yes","14932","6","12560","233","27731","0.13"
"2025-12-08T10:13:28.316Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-08T10:13:27.830Z","Included","claude-4.5-opus-high-thinking","Yes","0","0","0","0","0","0.00"
"2025-12-08T10:13:22.703Z","Included","claude-4.5-opus-high-thinking","Yes","479","6","12081","255","12821","0.02"
"2025-12-08T10:13:18.115Z","Included","claude-4.5-opus-high-thinking","Yes","809","8","11272","206","12295","0.02"
"2025-12-05T07:15:07.443Z","Included","auto","No","67653","0","215808","2178","285639","0.15"
"2025-12-05T07:04:20.800Z","Included","claude-4.5-opus-high-thinking","Yes","280","7","88924","381","89592","0.04"
"2025-12-05T07:04:13.359Z","Included","claude-4.5-opus-high-thinking","Yes","274","7","88650","118","89049","0.04"
"2025-12-05T07:04:09.195Z","Included","claude-4.5-opus-high-thinking","Yes","257","7","88393","120","88777","0.04"
"2025-12-05T07:04:04.621Z","Included","claude-4.5-opus-high-thinking","Yes","234","7","88159","168","88568","0.04"
